"コントロールカラム","プロダクトカテゴリ","パス名"
"","1813","ダイエット、健康 > 衛生日用品 > 爪切り"
"","1925","ダイエット、健康 > 健康管理、計測計 > 体重計"
"","1925","家電 > 健康家電 > 体重計"
"","2597","アウトドア、釣り、旅行用品 > アウトドア、キャンプ、登山 > クーラーボックス、保冷剤 > クーラーボックス"
"","3613","家具、インテリア > カーペット、ラグ、マット > カーペット、ラグ"
"","3614","家具、インテリア > カーペット、ラグ、マット > その他カーペット、ラグ、マット"
"","3744","キッチン、日用品、文具 > キッチン、台所用品 > ラップ、ホイル、消耗雑貨 > ペーパータオル、キッチンペーパー"
"","3917","DIY、工具 > 道具、工具 > 電動工具 > ドリル、ドライバー、レンチ > その他電動ドリル、ドライバー、レンチ"
"","3922","DIY、工具 > 道具、工具 > 塗装 > 刷毛"
"","3924","DIY、工具 > 材料、部品 > 塗料、塗装 > ペンキ、塗料"
"","3926","DIY、工具 > 道具、工具 > 塗装 > ローラー"
"","3929","DIY、工具 > 道具、工具 > ドライバー、レンチ > スパナ、レンチ > その他スパナ、レンチ"
"","3931","DIY、工具 > 道具、工具 > 切削、切断、穴あけ > ニッパー"
"","3946","DIY、工具 > 材料、部品 > 金物、部品 > 針金、ワイヤー"
"","3969","キッチン、日用品、文具 > 掃除用具 > 洗剤 > 多目的用洗剤"
"","3973","キッチン、日用品、文具 > 掃除用具 > バケツ、ポリバケツ"
"","3976","キッチン、日用品、文具 > 掃除用具 > その他掃除用具"
"","4043","DIY、工具 > 住宅設備、エクステリア > 庭、ガーデン > ガーデンファニチャー > その他ガーデンファニチャ"
"","4043","花、ガーデニング > ガーデンファニチャー > その他ガーデンファニチャー"
"","4233","キッチン、日用品、文具 > 防災、防犯、セーフティ > その他防災、防犯、セーフティ"
"","35646","DIY、工具 > 材料、部品 > 材料、資材 > 電設資材 > コイルチューブ"
"","35649","DIY、工具 > 材料、部品 > 材料、資材 > 電設資材 > ヒューズ"
"","35650","DIY、工具 > 材料、部品 > 材料、資材 > 電設資材 > スイッチ"
"","35652","DIY、工具 > 材料、部品 > 材料、資材 > 電設資材 > その他電設資材"
"","35658","DIY、工具 > 材料、部品 > 金物、部品 > 建築物用金具 > 棚受け"
"","35705","DIY、工具 > 業務、産業用 > 建築、建設用 > ブルーシート"
"","35716","DIY、工具 > 業務、産業用 > 建築、建設用 > 作業灯 > 非常灯"
"","35719","DIY、工具 > 業務、産業用 > 建築、建設用 > 安全ミラー、カーブミラー"
"","35729","DIY、工具 > 業務、産業用 > 建築、建設用 > 足場、足場材 > その他"
"","35730","DIY、工具 > 業務、産業用 > 建築、建設用 > 安全標識、看板 > 工事看板"
"","35754","DIY、工具 > 業務、産業用 > 製造、工場用 > 静電気対策、帯電防止 > 除電器"
"","35757","DIY、工具 > 業務、産業用 > 製造、工場用 > 静電気対策、帯電防止 > その他工場用静電気、帯電対策用品"
"","35765","DIY、工具 > 業務、産業用 > 製造、工場用 > 油圧機器 > その他"
"","35778","DIY、工具 > 業務、産業用 > 研究、開発用 > 容器 > 洗浄瓶"
"","35786","DIY、工具 > 業務、産業用 > 研究、開発用 > 容器 > その他実験用容器"
"","35794","DIY、工具 > 業務、産業用 > 研究、開発用 > 道具、材料 > デシケーター"
"","35796","DIY、工具 > 業務、産業用 > 研究、開発用 > 道具、材料 > ピンセット、実験用はさみ"
"","35803","DIY、工具 > 業務、産業用 > 研究、開発用 > 道具、材料 > その他研究、実験道具"
"","35816","DIY、工具 > 業務、産業用 > 研究、開発用 > 撹拌、粉砕用品 > 攪拌棒"
"","35832","DIY、工具 > 業務、産業用 > 研究、開発用 > 設備 > 保管庫"
