コントロールフラグ,商品番号,商品カテゴリ名,商品カテゴリID
n,10000,ニューバランス,6951
n,10001,ニューバランス,6953
n,10003,シューズ,10002
n,10005,ジェーンスタイル,9798
n,10006,ジェーンスタイル,6001
n,10012,メンズ,10008
n,10013,レディース,10008
n,10014,メンズ,10009
n,10015,レディース,10009
n,10016,メンズ,10010
n,10017,レディース,10010
n,10018,レディース,10011
n,10019,バンテージ,9171
n,10020,練習用具,9171
n,10021,マウスピース・ガード,9171
n,10022,リング・ジム用品,9171
n,10023,リング・ジム用品,7993
n,10024,ウイニング,9801
n,10030,アディダス,7395
n,10031,グラブ,6965
n,10032,アディダス,7100
n,10033,アディダス,7104
n,10034,アディダス,7103
n,10036,アディダス,7212
n,10037,アディダス,7102
n,10038,UVカットマスク,4960
n,10039,丸福繊維,11621
n,10040,アシックス,9798
n,10044,タオル・ポンチョ,10041
n,10045,ショーツ・トランクス,10042
n,10046,Tシャツ・ロンT,10042
n,10047,ラッシュガード,10042
n,10048,ショーツ・パンツ,10043
n,10049,Tシャツ・ロンT,10043
n,10050,ラッシュガード,10043
n,10051,ビキニ,10043
n,10053,オニール（O'NEILL）,11615
n,10055,バイザー,5900
n,10057,PHP研究所,11620
n,10058,カレンダー,8362
n,10059,ラスティ（RUSTY）,9356
n,10060,アシックス,9868
n,10061,アディダス,9868
n,10063,オニール（O'NEILL）,9356
n,10066,オーシャンパシフィック（OP）,9366
n,10067,ローチェ,8776
n,10073,ラージボール用ラケット,4733
n,10074,貼り上がりラケット（ラバー付）,4733
n,10075,その他,4733
n,10076,ニッタク,10071
n,10077,スティガ,10071
n,10078,ヴィクタス,10071
n,10079,バタフライ,10071
n,10080,TSP,10071
n,10081,ミズノ,10071
n,10082,アディダス,10071
n,10083,ヨーラ,10071
n,10084,コクタク,10071
n,10085,ヤサカ,10071
n,10086,ジュウイック,10071
n,10087,エクシオン,10071
n,10088,ドニック,10071
n,10089,サンエイ,10071
n,10090,ニッタク,10072
n,10091,スティガ,10072
n,10092,ヴィクタス,10072
n,10093,バタフライ,10072
n,10094,TSP,10072
n,10098,アディダス,10072
n,10099,ヨーラ,10072
n,10100,ハイテンションラバー,4734
n,10101,コクタク,10072
n,10102,ヤサカ,10072
n,10103,ジュウイック,10072
n,10104,エクシオン,10072
n,10105,ドニック,10072
n,10107,粒高ラバー,4734
n,10109,ラージ専用ラバー,4734
n,10110,ヴィクタス,10096
n,10111,バタフライ,10096
n,10112,TSP,10096
n,10113,ニッタク,10096
n,10114,ミズノ,10096
n,10116,ヨーラ,10096
n,10117,コクタク,10096
n,10118,ヤサカ,10096
