コントロールカラム,ディレクトリid,パス名
,205736,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> その他
,205207,キッズ・ベビー・マタニティ >> ベビー >> 衛生・ヘルスケア >> その他
,563162,スポーツ・アウトドア >> 自転車 >> メンテナンス >> その他
,211741,パソコン・周辺機器 >> その他
,208594,パソコン・周辺機器 >> オフィス用品 >> OA機器 >> その他
,208593,パソコン・周辺機器 >> オフィス用品 >> OA機器 >> タイムレコーダー >> その他
,101757,パソコン・周辺機器 >> オフィス用品 >> 記録用メディア >> その他
,210800,レディースファッション >> その他衣類 >> 制服・作業服 >> 作業服
,101870,花・ガーデン・DIY >> DIY・工具 >> その他
,204171,花・ガーデン・DIY >> DIY・工具 >> エア工具 >> その他
,210417,花・ガーデン・DIY >> DIY・工具 >> エア工具 >> スプレーガン
,210433,花・ガーデン・DIY >> DIY・工具 >> 脚立・はしご >> はしご
,210432,花・ガーデン・DIY >> DIY・工具 >> 脚立・はしご >> 脚立
,210435,花・ガーデン・DIY >> DIY・工具 >> 脚立・はしご >> 作業台
,210434,花・ガーデン・DIY >> DIY・工具 >> 脚立・はしご >> 踏み台
,204172,花・ガーデン・DIY >> DIY・工具 >> 計測用具 >> その他
,112794,花・ガーデン・DIY >> DIY・工具 >> 工具（レンチ・ドライバー） >> その他
,216102,花・ガーデン・DIY >> DIY・工具 >> 工具（レンチ・ドライバー） >> ソケット
,506770,花・ガーデン・DIY >> DIY・工具 >> 工具（レンチ・ドライバー） >> ドライバー >> インパクトドライバー
,216098,花・ガーデン・DIY >> DIY・工具 >> 工具（レンチ・ドライバー） >> ニッパー
,111222,花・ガーデン・DIY >> DIY・工具 >> 工具（レンチ・ドライバー） >> ハンマー
,216101,花・ガーデン・DIY >> DIY・工具 >> 工具（レンチ・ドライバー） >> バーナー
,564495,花・ガーデン・DIY >> DIY・工具 >> 工具（レンチ・ドライバー） >> レンチ >> インパクトレンチ
,564499,花・ガーデン・DIY >> DIY・工具 >> 工具（レンチ・ドライバー） >> 工具箱
,216099,花・ガーデン・DIY >> DIY・工具 >> 工具（レンチ・ドライバー） >> 万力
,204173,花・ガーデン・DIY >> DIY・工具 >> 作業用品 >> その他
,216114,花・ガーデン・DIY >> DIY・工具 >> 作業用品 >> 作業灯
,401795,花・ガーデン・DIY >> DIY・工具 >> 台車
,111224,花・ガーデン・DIY >> DIY・工具 >> 電動工具 >> その他
,204170,花・ガーデン・DIY >> DIY・工具 >> 電動工具 >> 研削・研磨
,210413,花・ガーデン・DIY >> DIY・工具 >> 電動工具 >> 発電機
,210438,花・ガーデン・DIY >> DIY・工具 >> 塗料・補修材・各種素材 >> 塗料
,407125,花・ガーデン・DIY >> DIY・工具 >> 配管工具
,101737,花・ガーデン・DIY >> その他
,101869,花・ガーデン・DIY >> エクステリア >> その他
,100883,花・ガーデン・DIY >> ガーデニング >> ガーデンファニチャー >> その他
,202566,花・ガーデン・DIY >> ガーデニング >> 園芸薬剤・活性剤 >> その他
,404046,花・ガーデン・DIY >> ガーデニング >> 用具・工具 >> ジョーロ
,202548,花・ガーデン・DIY >> ガーデニング >> 用具・工具 >> スコップ・シャベル
,404050,花・ガーデン・DIY >> ガーデニング >> 用具・工具 >> 雨水タンク
,209413,花・ガーデン・DIY >> ガーデニング >> 用具・工具 >> 散水器具・自動水やり器 >> その他
