"コントロールカラム","ジャンルid","パス名"
"","301603","アクセサリー・ジュエリー>ヘアアクセサリー>カチューシャ"
"","301604","アクセサリー・ジュエリー>ヘアアクセサリー>コンコルド"
"","301605","アクセサリー・ジュエリー>ヘアアクセサリー>コーム"
"","301606","アクセサリー・ジュエリー>ヘアアクセサリー>シュシュ"
"","301607","アクセサリー・ジュエリー>ヘアアクセサリー>ティアラ"
"","301608","アクセサリー・ジュエリー>ヘアアクセサリー>バレッタ・ヘアクリップ"
"","301609","アクセサリー・ジュエリー>ヘアアクセサリー>ヘアゴム"
"","301610","アクセサリー・ジュエリー>ヘアアクセサリー>ヘアタイ"
"","301611","アクセサリー・ジュエリー>ヘアアクセサリー>ヘアバンド"
"","301612","アクセサリー・ジュエリー>ヘアアクセサリー>ヘアピン"
"","301602","アクセサリー・ジュエリー>ヘアアクセサリー>その他ヘアアクセサリー"
"","3017","アクセサリー・ジュエリー>ペンダント"
"","3018","アクセサリー・ジュエリー>ペンダントトップ"
"","3019","アクセサリー・ジュエリー>ボディピアス"
"","3020","アクセサリー・ジュエリー>指輪・リング"
"","3022","アクセサリー・ジュエリー>カメオ"
"","3023","アクセサリー・ジュエリー>キーチェーン"
"","3024","アクセサリー・ジュエリー>クリーナー・クロス"
"","3025","アクセサリー・ジュエリー>ミサンガ"
"","3026","アクセサリー・ジュエリー>リングゲージ"
"","3027","アクセサリー・ジュエリー>宝石・ルース"
"","3001","アクセサリー・ジュエリー>その他アクセサリー・ジュエリー"
"","310101","インテリア・寝具>こたつ・こたつ用品>こたつ"
"","310102","インテリア・寝具>こたつ・こたつ用品>こたつ布団カバー"
"","310103","インテリア・寝具>こたつ・こたつ用品>こたつ布団掛敷セット"
"","310104","インテリア・寝具>こたつ・こたつ用品>こたつ用掛け布団"
"","310105","インテリア・寝具>こたつ・こたつ用品>こたつ用敷き布団"
"","310106","インテリア・寝具>こたつ・こたつ用品>その他こたつ・こたつ用品"
"","310302","インテリア・寝具>イス・チェア>カウンターチェア"
"","310303","インテリア・寝具>イス・チェア>キッズ・ベビーチェア"
"","310304","インテリア・寝具>イス・チェア>クッションチェア"
"","310305","インテリア・寝具>イス・チェア>スタッキングチェア"
"","310306","インテリア・寝具>イス・チェア>スツール（背もたれなし）"
"","310307","インテリア・寝具>イス・チェア>ダイニングチェア"
"","310308","インテリア・寝具>イス・チェア>パソコン・オフィスチェア"
"","310309","インテリア・寝具>イス・チェア>パーソナルチェア"
"","310310","インテリア・寝具>イス・チェア>リクライニングチェア"
